,BlindID,target.x,deltact,highestdelta,deltadeltact,rel_conc,Batch,Cage,BG,AnimalID,Sex
55,B1.5,SF-1,0.048178094,0.096000166,0.047822072,0.967395631,Batch1,941702,18,941702-1,M
56,B1.7,SF-1,0.06585548,0.096000166,0.030144686,0.979322078,Batch1,941702,12,941702-3,M
57,B1.9,SF-1,-0.007035405,0.096000166,0.103035571,0.931071863,Batch1,927693,19,927693-2,M
58,B2.1,SF-1,0.03787883,0.096000166,0.058121336,0.960514078,Batch2,990342,NA,990342-1,F
59,B2.2,SF-1,0.047310097,0.096000166,0.048690068,0.966813774,Batch2,990342,NA,990342-2,F
60,B2.3,SF-1,0.096000166,0.096000166,0,1,Batch2,1001363,NA,1001363-1,F
61,B2.4,SF-1,0.021445578,0.096000166,0.074554588,0.949635262,Batch2,1001363,NA,1001363-2,F
62,B3.1.1,SF-1,0.01886251,0.096000166,0.077137656,0.947936513,Batch3,1064394,22,1064394-1,M
63,B3.1.2,SF-1,-0.032911579,0.096000166,0.128911744,0.914521033,Batch3,1064394,26,1064394-2,M
64,B3.2.1,SF-1,-0.046973166,0.096000166,0.142973332,0.905650724,Batch3,1062366,18,1062366-1,M
65,B3.2.2,SF-1,0.052126433,0.096000166,0.043873733,0.970046807,Batch3,1062366,18,1062366-2,M
66,B3.3.1,SF-1,-0.006235892,0.096000166,0.102236057,0.931587988,Batch3,1068572,24,1068572-1,M
67,B3.3.2,SF-1,-0.073549135,0.096000166,0.169549301,0.8891204,Batch3,1068572,23,1068572-2,M
68,B3.3.3,SF-1,0.092676896,0.096000166,0.003323269,0.997699136,Batch3,1068572,18,1068572-3,M
69,B3.4.1,SF-1,0.031352371,0.096000166,0.064647795,0.956178721,Batch3,1074455,994804,1074455-1,F
70,B3.5.1,SF-1,0.009435335,0.096000166,0.08656483,0.941762492,Batch3,1058108,853839,1058108-1,M
71,B3.5.2,SF-1,-0.018745492,0.096000166,0.114745658,0.923545114,Batch3,1058108,853839,1058108-2,M
72,B3.5.3,SF-1,0.003521299,0.096000166,0.092478867,0.937909829,Batch3,1058108,853839,1058108-3,M
73,B1.6,SF-1,0.027371519,0.096000166,0.068628647,0.953543958,Batch1,941702,17,941702-2,M
74,B1.8,SF-1,0.040093098,0.096000166,0.055907067,0.96198942,Batch1,927693,19,927693-1,M
