Cage,steepness
922587,0.75
927693,0.8
941702,0.583333333
957162,0.244680851
1058108,0.654861111
1062366,0.995901639
1064394,0.99375
1068572,0.759415064
1074455,0.996389892
925878,0
1001363,0
990342,0
