"","getStp(matrix, method = c(""Dij"", ""Pij""))"
"922587",0.75
"927693",0.8
"941702",0.583333333333334
"957162",0.24468085106383
"1058108",0.654861111111112
"1062366",0.995901639344262
"1064394",0.99375
"1068572",0.759415064102564
"1074455",0.99638989169675
