"","BlindID","target.x","GeneExpRat","Batch","Cage","BG","AnimalID","Sex"
"1","B1.1","Cyp11a1",1.2161940184734,"Batch1",922587,17,"922587-1","F"
"2","B1.2","Cyp11a1",1.1607804703336,"Batch1",922587,19,"922587-2","F"
"3","B1.3","Cyp11a1",1.22927953444688,"Batch1",957162,17,"957162-1","F"
"4","B1.4","Cyp11a1",1.19015039231785,"Batch1",957162,12,"957162-2","F"
"5","B1.5","Cyp11a1",1.11625316401795,"Batch1",941702,18,"941702-1","M"
"6","B1.6","Cyp11a1",1.14352217833286,"Batch1",941702,17,"941702-2","M"
"7","B1.7","Cyp11a1",1.20904526210093,"Batch1",941702,12,"941702-3","M"
"8","B1.8","Cyp11a1",1.18082725697478,"Batch1",927693,19,"927693-1","M"
"9","B1.9","Cyp11a1",1.16655128664658,"Batch1",927693,19,"927693-2","M"
"10","B2.1","Cyp11a1",1.20230994209131,"Batch2",990342,NA,"990342-1","F"
"11","B2.2","Cyp11a1",1.18863451533786,"Batch2",990342,NA,"990342-2","F"
"12","B2.3","Cyp11a1",1.24625031696433,"Batch2",1001363,NA,"1001363-1","F"
"13","B2.4","Cyp11a1",1.19436069725212,"Batch2",1001363,NA,"1001363-2","F"
"14","B3.1.1","Cyp11a1",1.19883013664058,"Batch3",1064394,22,"1064394-1","M"
"15","B3.1.2","Cyp11a1",1.16524108654371,"Batch3",1064394,26,"1064394-2","M"
"16","B3.2.1","Cyp11a1",1.16141743592076,"Batch3",1062366,18,"1062366-1","M"
"17","B3.2.2","Cyp11a1",1.23936220661353,"Batch3",1062366,18,"1062366-2","M"
"18","B3.3.1","Cyp11a1",1.17567384038448,"Batch3",1068572,24,"1068572-1","M"
"19","B3.3.2","Cyp11a1",1.19866149043342,"Batch3",1068572,23,"1068572-2","M"
"20","B3.3.3","Cyp11a1",1.25987314493264,"Batch3",1068572,18,"1068572-3","M"
"21","B3.4.1","Cyp11a1",1.22631554697246,"Batch3",1074455,994804,"1074455-1","F"
"22","B3.5.1","Cyp11a1",1.18132373489002,"Batch3",1058108,853839,"1058108-1","M"
"23","B3.5.2","Cyp11a1",1.18005509134132,"Batch3",1058108,853839,"1058108-2","M"
"24","B3.5.3","Cyp11a1",1.22073787284534,"Batch3",1058108,853839,"1058108-3","M"
"25","B1.1","StAR",1.18181728098979,"Batch1",922587,17,"922587-1","F"
"26","B1.2","StAR",1.13235622519546,"Batch1",922587,19,"922587-2","F"
"27","B1.3","StAR",1.18350265729043,"Batch1",957162,17,"957162-1","F"
"28","B1.5","StAR",1.09515536995152,"Batch1",941702,18,"941702-1","M"
"29","B1.6","StAR",1.07701758312739,"Batch1",941702,17,"941702-2","M"
"30","B1.7","StAR",1.15035670772881,"Batch1",941702,12,"941702-3","M"
"31","B1.9","StAR",1.11881744087859,"Batch1",927693,19,"927693-2","M"
"32","B2.1","StAR",1.11980782517561,"Batch2",990342,NA,"990342-1","F"
"33","B2.2","StAR",1.11469268001435,"Batch2",990342,NA,"990342-2","F"
"34","B2.3","StAR",1.18134255806241,"Batch2",1001363,NA,"1001363-1","F"
"35","B2.4","StAR",1.11010825284663,"Batch2",1001363,NA,"1001363-2","F"
"36","B3.1.1","StAR",1.13649176033851,"Batch3",1064394,22,"1064394-1","M"
"37","B3.1.2","StAR",1.12173485807745,"Batch3",1064394,26,"1064394-2","M"
"38","B3.2.1","StAR",1.12598763045238,"Batch3",1062366,18,"1062366-1","M"
"39","B3.2.2","StAR",1.17869053541788,"Batch3",1062366,18,"1062366-2","M"
"40","B3.3.1","StAR",1.1257210499676,"Batch3",1068572,24,"1068572-1","M"
"41","B3.3.2","StAR",1.1089452252599,"Batch3",1068572,23,"1068572-2","M"
"42","B3.3.3","StAR",1.19170092869403,"Batch3",1068572,18,"1068572-3","M"
"43","B3.4.2","StAR",1.1205541599436,"Batch3",1074455,26,"1074455-2","F"
"44","B3.5.1","StAR",1.13904496314305,"Batch3",1058108,853839,"1058108-1","M"
"45","B3.5.2","StAR",1.12706637245719,"Batch3",1058108,853839,"1058108-2","M"
"46","B3.5.3","StAR",1.16350612919201,"Batch3",1058108,853839,"1058108-3","M"
"47","B1.1","Nrb01",1.10950935537976,"Batch1",922587,17,"922587-1","F"
"48","B1.2","Nrb01",1.08754795296369,"Batch1",922587,19,"922587-2","F"
"49","B1.3","Nrb01",1.10332098618288,"Batch1",957162,17,"957162-1","F"
"50","B1.5","Nrb01",1.07913559504721,"Batch1",941702,18,"941702-1","M"
"51","B1.6","Nrb01",1.0406804187903,"Batch1",941702,17,"941702-2","M"
"52","B1.7","Nrb01",1.11419978768832,"Batch1",941702,12,"941702-3","M"
