"","BlindID","target.x","GeneExpRat","Batch","Cage","BG","AnimalID","Sex"
"53","B1.9","Nrb01",1.0842592974184,"Batch1",927693,19,"927693-2","M"
"54","B2.1","Nrb01",1.1174799467514,"Batch2",990342,NA,"990342-1","F"
"55","B2.2","Nrb01",1.12090723851958,"Batch2",990342,NA,"990342-2","F"
"56","B2.3","Nrb01",1.15486545020839,"Batch2",1001363,NA,"1001363-1","F"
"57","B2.4","Nrb01",1.11003356192053,"Batch2",1001363,NA,"1001363-2","F"
"58","B3.1.1","Nrb01",1.12969267160553,"Batch3",1064394,22,"1064394-1","M"
"59","B3.1.2","Nrb01",1.09334065337041,"Batch3",1064394,26,"1064394-2","M"
"60","B3.3.1","Nrb01",1.0988955819426,"Batch3",1068572,24,"1068572-1","M"
"61","B3.3.2","Nrb01",1.05237752336651,"Batch3",1068572,23,"1068572-2","M"
"62","B3.3.3","Nrb01",1.16469877021189,"Batch3",1068572,18,"1068572-3","M"
"63","B3.4.1","Nrb01",1.12183213603982,"Batch3",1074455,994804,"1074455-1","F"
"64","B3.4.2","Nrb01",1.06954962091299,"Batch3",1074455,26,"1074455-2","F"
"65","B3.5.1","Nrb01",1.10768896037129,"Batch3",1058108,853839,"1058108-1","M"
"66","B3.5.2","Nrb01",1.09317711001535,"Batch3",1058108,853839,"1058108-2","M"
"67","B3.5.3","Nrb01",1.06910720915774,"Batch3",1058108,853839,"1058108-3","M"
"68","B1.1","Nr5a1",1.03222979704614,"Batch1",922587,17,"922587-1","F"
"69","B1.2","Nr5a1",0.998857085375328,"Batch1",922587,19,"922587-2","F"
"70","B1.3","Nr5a1",1.03124165042576,"Batch1",957162,17,"957162-1","F"
"71","B1.4","Nr5a1",1.02383805197735,"Batch1",957162,12,"957162-2","F"
"72","B1.5","Nr5a1",1.03078624005391,"Batch1",941702,18,"941702-1","M"
"73","B1.7","Nr5a1",1.04233643209196,"Batch1",941702,12,"941702-3","M"
"74","B1.9","Nr5a1",0.995560352923403,"Batch1",927693,19,"927693-2","M"
"75","B2.1","Nr5a1",1.02411800678313,"Batch2",990342,NA,"990342-1","F"
"76","B2.2","Nr5a1",1.03019444315976,"Batch2",990342,NA,"990342-2","F"
"77","B2.3","Nr5a1",1.06229078187202,"Batch2",1001363,NA,"1001363-1","F"
"78","B2.4","Nr5a1",1.01357923122555,"Batch2",1001363,NA,"1001363-2","F"
"79","B3.1.1","Nr5a1",1.011935705667,"Batch3",1064394,22,"1064394-1","M"
"80","B3.1.2","Nr5a1",0.979490629003012,"Batch3",1064394,26,"1064394-2","M"
"81","B3.2.1","Nr5a1",0.970850792749898,"Batch3",1062366,18,"1062366-1","M"
"82","B3.2.2","Nr5a1",1.03334804629587,"Batch3",1062366,18,"1062366-2","M"
"83","B3.3.1","Nr5a1",0.996071892192308,"Batch3",1068572,24,"1068572-1","M"
"84","B3.3.2","Nr5a1",0.954751380891188,"Batch3",1068572,23,"1068572-2","M"
"85","B3.3.3","Nr5a1",1.06007991626936,"Batch3",1068572,18,"1068572-3","M"
"86","B3.4.1","Nr5a1",1.01993946749797,"Batch3",1074455,994804,"1074455-1","F"
"87","B3.5.1","Nr5a1",1.00595507839687,"Batch3",1058108,853839,"1058108-1","M"
"88","B3.5.2","Nr5a1",0.988257383803837,"Batch3",1058108,853839,"1058108-2","M"
"89","B3.5.3","Nr5a1",1.00221796494797,"Batch3",1058108,853839,"1058108-3","M"
"90","B1.4","Nrb01",0.992815023779286,"Batch1",957162,12,"957162-2","F"
"91","B1.4","StAR",1.06786698288264,"Batch1",957162,12,"957162-2","F"
"92","B1.6","Nr5a1",1.01740701194241,"Batch1",941702,17,"941702-2","M"
"93","B1.8","Nr5a1",1.02558449743032,"Batch1",927693,19,"927693-1","M"
"94","B1.8","Nrb01",0.991191907056515,"Batch1",927693,19,"927693-1","M"
"95","B1.8","StAR",1.13453955582066,"Batch1",927693,19,"927693-1","M"
"96","B3.2.1","Nrb01",1.00032241083218,"Batch3",1062366,18,"1062366-1","M"
"97","B3.2.2","Nrb01",1.05584879392183,"Batch3",1062366,18,"1062366-2","M"
"98","B3.4.1","StAR",1.09069033380181,"Batch3",1074455,994804,"1074455-1","F"
"99","B3.4.2","Cyp11a1",1.16898164411021,"Batch3",1074455,26,"1074455-2","F"
"100","B3.4.2","Nr5a1",1.00333724358861,"Batch3",1074455,26,"1074455-2","F"
"101","B1.1","Cyp11b1",0.906184018788056,"Batch1",922587,17,"922587-1","F"
"102","B1.2","Cyp11b1",0.890162917240996,"Batch1",922587,19,"922587-2","F"
"103","B1.3","Cyp11b1",0.958873651198846,"Batch1",957162,17,"957162-1","F"
"104","B1.4","Cyp11b1",0.984962873903862,"Batch1",957162,12,"957162-2","F"
"105","B1.5","Cyp11b1",1.05615681090832,"Batch1",941702,18,"941702-1","M"
"106","B1.6","Cyp11b1",0.930060412130795,"Batch1",941702,17,"941702-2","M"
"107","B1.7","Cyp11b1",1.06223986947526,"Batch1",941702,12,"941702-3","M"
"108","B1.8","Cyp11b1",1.08685754560988,"Batch1",927693,19,"927693-1","M"
"109","B1.9","Cyp11b1",1.09159767703221,"Batch1",927693,19,"927693-2","M"
"110","B3.1.1","Cyp11b1",1.08226261417102,"Batch3",1064394,22,"1064394-1","M"
"111","B3.1.2","Cyp11b1",1.09224562398798,"Batch3",1064394,26,"1064394-2","M"
"112","B3.2.1","Cyp11b1",1.09265540563237,"Batch3",1062366,18,"1062366-1","M"
"113","B3.2.2","Cyp11b1",1.13317758743025,"Batch3",1062366,18,"1062366-2","M"
"114","B3.3.1","Cyp11b1",1.09368335377924,"Batch3",1068572,24,"1068572-1","M"
"115","B3.3.2","Cyp11b1",1.04725986743587,"Batch3",1068572,23,"1068572-2","M"
"116","B3.3.3","Cyp11b1",1.12154057380931,"Batch3",1068572,18,"1068572-3","M"
"117","B3.4.1","Cyp11b1",1.08248069826805,"Batch3",1074455,994804,"1074455-1","F"
"118","B3.4.2","Cyp11b1",1.06412587098304,"Batch3",1074455,26,"1074455-2","F"
"119","B3.5.1","Cyp11b1",1.10023580898044,"Batch3",1058108,853839,"1058108-1","M"
"120","B3.5.2","Cyp11b1",1.09259278522745,"Batch3",1058108,853839,"1058108-2","M"
"121","B3.5.3","Cyp11b1",1.10449993228512,"Batch3",1058108,853839,"1058108-3","M"
"122","B2.1","Cyp11b1",1.13702802268809,"Batch2",990342,NA,"990342-1","F"
"123","B2.2","Cyp11b1",1.16246099634255,"Batch2",990342,NA,"990342-2","F"
"124","B2.3","Cyp11b1",1.20159527369994,"Batch2",1001363,NA,"1001363-1","F"
"125","B2.4","Cyp11b1",1.12818227592491,"Batch2",1001363,NA,"1001363-2","F"
